import time: self [us] | cumulative | imported package
import time:      3722 |       3722 |   _io
import time:        62 |         62 |   marshal
import time:      1203 |       1203 |   posix
import time:      1010 |       5994 | _frozen_importlib_external
import time:       314 |        314 |   time
import time:       257 |        570 | zipimport
import time:       151 |        151 |     _codecs
import time:       685 |        836 |   codecs
import time:      3837 |       3837 |   encodings.aliases
import time:      4530 |       9201 | encodings
import time:       545 |        545 | encodings.utf_8
import time:       271 |        271 | _signal
import time:        97 |         97 |     _abc
import time:       281 |        377 |   abc
import time:       320 |        697 | io
import time:       156 |        156 |       _stat
import time:       194 |        349 |     stat
import time:      2473 |       2473 |     _collections_abc
import time:       125 |        125 |       genericpath
import time:       179 |        303 |     posixpath
import time:       963 |       4087 |   os
import time:       190 |        190 |   _sitebuiltins
import time:       846 |        846 |   sitecustomize
import time:       181 |        181 |   usercustomize
import time:      2075 |       7377 | site
import time:       411 |        411 |         itertools
import time:       399 |        399 |         keyword
import time:       128 |        128 |           _operator
import time:       525 |        653 |         operator
import time:       401 |        401 |         reprlib
import time:       127 |        127 |         _collections
import time:      2489 |       4478 |       collections
import time:       629 |        629 |       types
import time:       139 |        139 |       _functools
import time:      1410 |       6654 |     functools
import time:       506 |        506 |     _weakrefset
import time:      1753 |       8913 |   threading
import time:       453 |        453 |     collections.abc
import time:       443 |        443 |     copyreg
import time:      1161 |       1161 |     contextlib
import time:      2702 |       2702 |       enum
import time:       122 |        122 |         _sre
import time:       723 |        723 |           re._constants
import time:       715 |       1438 |         re._parser
import time:       328 |        328 |         re._casefix
import time:       740 |       2626 |       re._compiler
import time:      1266 |       6593 |     re
import time:       720 |        720 |     warnings
import time:       110 |        110 |     _typing
import time:      7527 |      17005 |   typing
import time:       234 |        234 |     concurrent
import time:       432 |        432 |               token
import time:        99 |         99 |               _tokenize
import time:      2005 |       2535 |             tokenize
import time:       394 |       2929 |           linecache
import time:      1800 |       1800 |           textwrap
import time:      1321 |       6048 |         traceback
import time:      1255 |       1255 |         weakref
import time:        59 |         59 |           _string
import time:      1263 |       1321 |         string
import time:        67 |         67 |         atexit
import time:      3932 |      12621 |       logging
import time:      2632 |      15252 |     concurrent.futures._base
import time:       511 |      15996 |   concurrent.futures
import time:       380 |        380 |         _heapq
import time:       436 |        815 |       heapq
import time:       258 |        258 |       _queue
import time:       825 |       1897 |     queue
import time:       474 |       2370 |   concurrent.futures.thread
import time:     23815 |      68096 | research_pipeline
