import time: self [us] | cumulative | imported package
import time:       418 |        418 |   _io
import time:        57 |         57 |   marshal
import time:       420 |        420 |   posix
import time:       478 |       1373 | _frozen_importlib_external
import time:       147 |        147 |   time
import time:       216 |        362 | zipimport
import time:        90 |         90 |     _codecs
import time:       615 |        705 |   codecs
import time:      2746 |       2746 |   encodings.aliases
import time:      2021 |       5470 | encodings
import time:       417 |        417 | encodings.utf_8
import time:       220 |        220 | _signal
import time:        60 |         60 |     _abc
import time:       202 |        261 |   abc
import time:       285 |        545 | io
import time:        77 |         77 |       _stat
import time:        99 |        175 |     stat
import time:      1460 |       1460 |     _collections_abc
import time:        87 |         87 |       genericpath
import time:       146 |        232 |     posixpath
import time:       562 |       2428 |   os
import time:       113 |        113 |   _sitebuiltins
import time:       550 |        550 |   encodings.utf_8_sig
import time:       638 |        638 |   types
import time:       481 |        481 |       warnings
import time:       263 |        744 |     importlib
import time:       350 |        350 |     importlib._abc
import time:       227 |       1320 |   importlib.util
import time:        83 |         83 |   importlib.machinery
import time:       313 |        313 |   sitecustomize
import time:        86 |         86 |   usercustomize
import time:      2644 |       8169 | site
import time:       199 |        199 |       itertools
import time:       242 |        242 |       keyword
import time:       119 |        119 |         _operator
import time:       590 |        708 |       operator
import time:       329 |        329 |       reprlib
import time:       165 |        165 |       _collections
import time:      1473 |       3113 |     collections
import time:       292 |        292 |       _functools
import time:       885 |       1176 |     functools
import time:      1054 |       5343 |   contextlib
import time:      2446 |       2446 |     enum
import time:       115 |        115 |       _sre
import time:       457 |        457 |         re._constants
import time:       780 |       1236 |       re._parser
import time:       432 |        432 |       re._casefix
import time:       621 |       2403 |     re._compiler
import time:       324 |        324 |     copyreg
import time:       959 |       6131 |   re
import time:       271 |        271 |   fnmatch
import time:       882 |      12625 | glob
import time:       287 |        287 |     collections.abc
import time:       350 |        350 |         token
import time:        61 |         61 |         _tokenize
import time:      1462 |       1872 |       tokenize
import time:       240 |       2112 |     linecache
import time:      1484 |       1484 |     textwrap
import time:      1085 |       4967 |   traceback
import time:       461 |        461 |     _weakrefset
import time:      2212 |       2672 |   weakref
import time:        53 |         53 |     _string
import time:       916 |        969 |   string
import time:      1199 |       1199 |   threading
import time:        64 |         64 |   atexit
import time:      3219 |      13087 | logging
import time:        78 |         78 |   _typing
import time:      4620 |       4697 | typing
import time:       242 |        242 |   concurrent
import time:      2102 |       2102 |   concurrent.futures._base
import time:       398 |       2741 | concurrent.futures
import time:       239 |        239 |       _heapq
import time:       351 |        589 |     heapq
import time:       245 |        245 |     _queue
import time:       599 |       1431 |   queue
import time:       423 |       1854 | concurrent.futures.thread
import time:       168 |        168 |     src
import time:       334 |        502 |   src.antigravity_core
import time:       321 |        321 |         _json
import time:       543 |        863 |       json.scanner
import time:       737 |       1600 |     json.decoder
import time:       632 |        632 |     json.encoder
import time:       344 |       2575 |   json
import time:      4782 |       7858 | src.antigravity_core.mobile_bridge
import time:        95 |         95 |         _winapi
import time:        78 |         78 |         nt
import time:       123 |        123 |         nt
import time:        73 |         73 |         nt
import time:        78 |         78 |         nt
import time:       218 |        218 |         nt
import time:        70 |         70 |         nt
import time:       148 |        880 |       ntpath
import time:        86 |         86 |       errno
import time:       183 |        183 |         urllib
import time:       329 |        329 |         math
import time:      2239 |       2239 |         ipaddress
import time:      1854 |       4603 |       urllib.parse
import time:      1229 |       6795 |     pathlib
import time:       478 |        478 |         zlib
import time:       366 |        366 |           _compression
import time:       343 |        343 |           _bz2
import time:       436 |       1144 |         bz2
import time:       467 |        467 |           _lzma
import time:       436 |        902 |         lzma
import time:      1466 |       3987 |       shutil
import time:       239 |        239 |           _bisect
import time:       372 |        610 |         bisect
import time:       206 |        206 |         _random
import time:       222 |        222 |         _sha2
import time:       767 |       1802 |       random
import time:       793 |       6582 |     tempfile
import time:      2312 |       2312 |     dotenv.parser
import time:       737 |        737 |     dotenv.variables
import time:      1243 |      17666 |   dotenv.main
import time:       291 |      17956 | dotenv
ERROR:__main__:🛑 WORK_LOG.md not found. Required for action verification.
