import time: self [us] | cumulative | imported package
import time:      2019 |       2019 |   _io
import time:        68 |         68 |   marshal
import time:      3181 |       3181 |   posix
import time:      2434 |       7701 | _frozen_importlib_external
import time:       808 |        808 |   time
import time:       620 |       1428 | zipimport
import time:       364 |        364 |     _codecs
import time:      1140 |       1503 |   codecs
import time:      6339 |       6339 |   encodings.aliases
import time:      6776 |      14617 | encodings
import time:       934 |        934 | encodings.utf_8
import time:       364 |        364 | _signal
import time:       245 |        245 |     _abc
import time:       347 |        591 |   abc
import time:       543 |       1133 | io
import time:       238 |        238 |       _stat
import time:       374 |        612 |     stat
import time:      4814 |       4814 |     _collections_abc
import time:       358 |        358 |       genericpath
import time:       475 |        832 |     posixpath
import time:      2080 |       8336 |   os
import time:       523 |        523 |   _sitebuiltins
import time:      2121 |       2121 |   encodings.utf_8_sig
import time:      2377 |       2377 |   types
import time:      2469 |       2469 |       warnings
import time:      1439 |       3907 |     importlib
import time:      1685 |       1685 |     importlib._abc
import time:       419 |       6010 |   importlib.util
import time:       135 |        135 |   importlib.machinery
import time:       360 |        360 |   sitecustomize
import time:       128 |        128 |   usercustomize
import time:     11439 |      31425 | site
import time:       865 |        865 |         itertools
import time:       754 |        754 |         keyword
import time:       715 |        715 |           _operator
import time:      1908 |       2622 |         operator
import time:       658 |        658 |         reprlib
import time:       378 |        378 |         _collections
import time:      6878 |      12153 |       collections
import time:       157 |        157 |       _functools
import time:      3943 |      16252 |     functools
import time:      1577 |       1577 |     _weakrefset
import time:      6222 |      24050 |   threading
import time:       848 |        848 |     collections.abc
import time:       565 |        565 |     copyreg
import time:      1464 |       1464 |     contextlib
import time:     10780 |      10780 |       enum
import time:       331 |        331 |         _sre
import time:      1734 |       1734 |           re._constants
import time:      3872 |       5606 |         re._parser
import time:       732 |        732 |         re._casefix
import time:      2724 |       9392 |       re._compiler
import time:      2452 |      22623 |     re
import time:       138 |        138 |     _typing
import time:     19853 |      45489 |   typing
import time:      1821 |       1821 |     concurrent
import time:      1230 |       1230 |               token
import time:        90 |         90 |               _tokenize
import time:      4217 |       5535 |             tokenize
import time:       767 |       6302 |           linecache
import time:      4008 |       4008 |           textwrap
import time:      4024 |      14333 |         traceback
import time:      2745 |       2745 |         weakref
import time:        85 |         85 |           _string
import time:      3406 |       3490 |         string
import time:       154 |        154 |         atexit
import time:     25781 |      46501 |       logging
import time:      5472 |      51973 |     concurrent.futures._base
import time:      2040 |      55833 |   concurrent.futures
import time:      1192 |       1192 |         _heapq
import time:      1412 |       2603 |       heapq
import time:       689 |        689 |       _queue
import time:      1706 |       4996 |     queue
import time:      1904 |       6899 |   concurrent.futures.thread
import time:      3258 |     135527 | judge_guard
